Identificador;Fecha reporte;Localidad;Barrio;Upz;Dirección;Tipo de afectación
5407693;3/12/2022;3 Santa Fe;SAN FRANCISCO VICACHA;N/A;"4°36'03.4""N 74°03'31.9""W";Represamiento de cauce
5407694;3/12/2022;1 Usaquen;CAOBOS SALAZAR;N/A;CL 151 11 62;Daño en redes de servicio públicos gas
5407695;3/12/2022;11 Suba;LISBOA;N/A;CL 131B 153 71;Daño en redes de servicio públicos gas
5407696;3/12/2022;8 Kennedy;CORABASTOS;N/A;DG 38 SUR 81 BIS 1;Daño en redes de servicio públicos energía
5407697;3/12/2022;6 Tunjuelito;LAGUNETA;N/A;DG 46 SUR 54A 11;Daño en redes de servicio públicos gas
5407698;3/12/2022;8 Kennedy;JACQUELINE;N/A;KR 77Q 46A SUR 18;Daño en redes de servicio públicos energía
5407699;3/12/2022;10 Engativa;JARDIN BOTANICO;N/A;KR 69 44 35;Desechos en via pública
5407700;3/12/2022;4 San Cristobal;NUEVA DELLY;N/A;DG 60B SUR 12A BIS ESTE 33A;Animales Peligrosos
5407701;3/12/2022;13 Teusaquillo;FLORIDA - PANAMERICANO;N/A;AK 30 24 0;Daños en malla vial
5407702;3/12/2022;1 Usaquen;LA GRANJA NORTE;N/A;KR 6B 171 30;Conato de incendio
5407703;3/12/2022;3 Santa Fe;SANTA INES;N/A;CL 12 12 13;Animales Peligrosos
5407704;3/12/2022;11 Suba;NUEVO CORINTO;N/A;CL 126 104 0;Quemas - Desechos o material vegetal
5407705;3/12/2022;14 Los Martires;USATAMA;N/A;AK 30 23 0;Daños en malla vial
5407706;3/12/2022;19 Ciudad Bolivar;ARABIA;N/A;CL 81A SUR 18Q 67;Daño o falla estructural
5407707;3/12/2022;9 Fontibon;URB. BATAVIA;N/A;KR 116 18 1;Daño en redes de servicio públicos acueducto
5407708;3/12/2022;9 Fontibon;URB. MANUEL CRISTOBAL EL PORTAL;N/A;KR 119A 17A 51;Daño en redes de servicio públicos acueducto
5407709;3/12/2022;8 Kennedy;ALQUERIA LA FRAGUA SANTA YOLANDA;N/A;CL 39F SUR 68 59;Animales Peligrosos
5407710;3/12/2022;8 Kennedy;LA ALQUERIA;N/A;AK 68 38H SUR 59;Animales Peligrosos
5407711;3/12/2022;1 Usaquen;SANTA ANA ORIENTAL;N/A;CL 109 BIS 2 ESTE 50;Caida de árbol
5407712;3/12/2022;19 Ciudad Bolivar;VIA QUIBA - ENTRADA AL PARAISO;N/A;CL 72G SUR 26C 27;Accidente de tránsito
5407713;3/12/2022;8 Kennedy;MANDALAY;N/A;KR 78B 1 10;Escape de gas - Daño o Fuga en Tanques de Almacenamiento de gas
5407714;3/12/2022;1 Usaquen;CEDRITOS;N/A;KR 12C 148;Caida de árbol
5407715;3/12/2022;4 San Cristobal;AMAPOLAS;N/A;KR 12G ESTE 28G SUR 24;Quema Forestal
5407716;3/12/2022;11 Suba;EL BATAN;N/A;KR 53 123 0;Caida de árbol - Pérdida de verticalidad de árbol
5407717;3/12/2022;10 Engativa;QUIRIGUA CENTRAL;N/A;KR 94F 88 0;Quemas
5407718;3/12/2022;12 Barrios Unidos;SAN_FELIPE;N/A;DG 74 BIS 20B 66;Daño en redes de servicio públicos gas
5407719;3/12/2022;11 Suba;CANODROMO;N/A;AK 45 127 1;Daño en redes de servicio públicos acueducto
5407720;4/12/2022;7 Bosa;GRANCOLOMBIANO I;N/A;KR 80K 73F SUR 56;Quemas - Basuras
5407721;4/12/2022;13 Teusaquillo;ALFONSO LOPEZ;N/A;CL 51 17 30;Accidente de tránsito
5407722;4/12/2022;11 Suba;URB. ARCOS DE CANTALEJO;N/A;CL 162 55C 80;Animales Peligrosos
5407723;4/12/2022;18 Rafael Uribe Uribe;GRANJAS DE SAN PABLO;N/A;CL 36 SUR 13 5;Animales Peligrosos
